"","season","title","original_air_date","episode_num_in_season","episode_num_overall","directed_by","written_by","prod_code","us_viewers","episode_num","imdb_rating","total_votes","desc"
"1",1,"Advanced Criminal Law",2009-10-15,5,5,"Joe Russo","Andrew Guest",105,5010000,5,7.8,3506,"Señor Chang is on the hunt for a cheater and threatens to fail the entire class if the culprit doesn't come forward. When someone confesses, Jeff comes to their defense. Meanwhile, Annie recruits Pierce to write the new school song."
"2",1,"Basic Genealogy",2010-03-11,18,18,"Ken Whittingham","Karey Dornetto",117,4700000,18,8,3203,"It's Family Day at Greendale. Pierce tries to build a relationship with his stepdaughter, but she has eyes for Jeff instead. Britta gets in trouble with Troy's Nana, and Shirley's kids cause problems for Abed's father."
"3",1,"Beginner Pottery",2010-03-18,19,19,"Anthony Russo","Hilary Winston",114,5210000,19,8.4,3391,"Jeff signs up for a pottery class for an easy credit, but winds up failing the class when his jealousy of another student gets the best of him. Meanwhile, Pierce's incompetence could ruin his group's grade in boating class."
"4",1,"Communication Studies",2010-02-11,16,16,"Adam Davidson","Chris McKenna",116,5150000,16,8.4,3352,"Jeff sets out to fix his relationship with Britta after things get awkward with a drunken phone call. Meanwhile, Annie and Shirley make plans to humiliate Señor Chang in order to defend Troy and Pierce's dignity."
"5",1,"Comparative Religion",2009-12-10,12,12,"Adam Davidson","Liz Cackowski",111,5510000,12,8.4,3539,"Shirley throws a Christmas party for the gang and much to her surprise learns her classmates come from various religious backgrounds. Meanwhile, Jeff is challenged by the school bully and faces the reality that he may fail Spanish 101."
"6",1,"Contemporary American Poultry",2010-04-22,21,21,"Tristram Shapeero","Emily Cutler & Karey Dornetto",123,3670000,21,9.3,5274,"Jeff's plan to get chicken fingers from the school cafeteria for the study group quickly evolves into a mafia movie-style endeavor with Abed calling all the shots."
"7",1,"Debate 109",2009-11-12,9,9,"Joe Russo","Tim Hobert",109,5090000,9,8.8,4069,"Jeff reluctantly agrees to be Annie's debate partner, Britta humors Pierce by letting him try hypnotherapy on her to get her to stop smoking, and the gang begins to think that Abed's films may predict their future."
"8",1,"English as a Second Language",2010-05-13,24,24,"Gail Mancuso","Tim Hobert",120,4490000,24,8.2,3148,"Annie uses inside information about Señor Chang to get him fired so that the study group will be forced to stay together and take Spanish again. Meanwhile, Troy discovers that he has a natural skill for plumbing."
"9",1,"Environmental Science",2009-11-19,10,10,"Seth Gordon","Zach Paez",108,4860000,10,8.2,3420,"Jeff hangs out with Senor Chang to get out of an essay, angering the rest of the group. Meanwhile, Abed and Troy search for their missing lab mouse, and Pierce helps Shirley out with a presentation."
"10",1,"Football, Feminism and You",2009-10-22,6,6,"Joe Russo","Hilary Winston",103,5180000,6,7.7,3446,"Jeff talks Troy into playing for the college's football team, sparking Annie's anger. Pierce helps the dean come up with a new mascot, and Britta tries to become Shirley's bathroom friend."
"11",1,"Home Economics",2009-11-05,8,8,"Anthony Russo","Lauren Pomerantz",107,5450000,8,7.9,3376,"When Jeff loses his home and his car, he is forced to move into Abed's dorm room. Troy has a big date, but why is a jealous Annie trying to help? Meanwhile, Pierce becomes the keyboardist for Vaughn's band."
"12",1,"Interpretive Dance",2010-01-21,14,14,"Justin Lin","Lauren Pomerantz",112,4730000,14,7.9,3222,"Jeff runs in to problems when the study group and the dean discover that he's seeing a professor, while Troy and Britta discover each other's secret that they are both taking dance classes."
"13",1,"Introduction to Film",2009-10-01,3,3,"Anthony Russo","Tim Hobert & Jon Pollack",102,5860000,3,8.2,3978,"Britta comes between Abed and his father when she signs him up for a film class, and Jeff risks failing a class unless he ""seizes the day."""
"14",1,"Introduction to Statistics",2009-10-29,7,7,"Justin Lin","Tim Hobert & Jon Pollack",106,5320000,7,8.7,4038,"Will Jeff blow off Annie's Halloween party and sell out his other classmates in order to get a chance to score with a sexy professor?"
"15",1,"Investigative Journalism",2010-01-14,13,13,"Joe Russo","Jon Pollack & Tim Hobert",113,5420000,13,8,3378,"The gang decides not to let an obnoxious student from their Spanish class into the study group. The dean appoints Jeff as editor of the student paper, where Annie is working on a story that could expose the dean as a racist."
"16",1,"Modern Warfare",2010-05-06,23,23,"Justin Lin","Emily Cutler",119,4350000,23,9.8,11482,"Greendale Community College is transformed into an apocalyptic war zone when the dean promises the winner of a paintball competition priority registration, and it could fan the flames of sexual tension between Jeff and Britta."
"17",1,"Pascal's Triangle Revisited",2010-05-20,25,25,"Joe Russo","Hilary Winston",121,4410000,25,8.5,3416,"Britta and Professor Slater fight for the affection of Jeff. Meanwhile, Troy is confused when Abed doesn't invite him to move into his dorm room."
"18",1,"Physical Education",2010-03-04,17,17,"Anthony Russo","Jessie Miller",118,5060000,17,9,4165,"Jeff refuses to participate in a pool class because the teacher forces him to play in gym shorts, and the study group discovers a white version of Abed at the college."
"19",1,"Pilot",2009-09-17,1,1,"Anthony Russo & Joe Russo","Dan Harmon",100,7890000,1,7.7,4624,"An ex-lawyer is forced to return to community college to get a degree. However, he tries to use the skills he learned as a lawyer to get the answers to all his tests and pick up on a sexy woman in his Spanish class."
"20",1,"Romantic Expressionism",2010-02-04,15,15,"Joe Russo","Andrew Guest",115,5230000,15,8,3227,"When Annie starts hanging out with Britta's ex-boyfriend Vaughn, Britta and Jeff vow to protect her. Meanwhile, Pierce feels left out at Troy and Abed's movie night."
"21",1,"Social Psychology",2009-10-08,4,4,"Anthony Russo","Liz Cackowski",104,4870000,4,8.1,3665,"Jeff and Shirley bond by making fun of Britta's new hippie boyfriend, which doesn't go well for any involved. Meanwhile, Troy and Abed become pawns in Annie's psychology experiment."
"22",1,"Spanish 101",2009-09-24,2,2,"Joe Russo","Dan Harmon",101,5390000,2,7.8,4034,"Jeff takes steps to ensure that Britta will be his partner in Spanish class, but winds up with Pierce instead."
"23",1,"The Art of Discourse",2010-04-29,22,22,"Adam Davidson","Chris McKenna",124,4360000,22,7.9,3370,"Shirley gets Pierce kicked out the study group, Jeff and Britta plot revenge on a group of high schoolers who make fun of them for attending community college, and Troy helps Abed accomplish some of his movie-clichéd social goals."
"24",1,"The Science of Illusion",2010-03-25,20,20,"Adam Davidson","Zach Paez",122,5070000,20,8.4,3308,"Britta's April Fool's Day prank has disastrous consequences, but she refuses to confess that she was responsible. Annie and Shirley temporarily work as security guards, but both of them want to be the ""bad cop."""
"25",2,"A Fistful of Paintballs",2011-05-05,23,48,"Joe Russo","Andrew Guest",223,3490000,23,9.7,6911,"In a ""spaghetti western"" parody, Pierce tries to get revenge on the rest of the study group during this year's paintball tournament."
"26",2,"Abed's Uncontrollable Christmas",2010-12-09,11,36,"Duke Johnson","Dino Stamatopoulos & Dan Harmon",222,4290000,11,8.7,4739,"When Abed wakes up to discover that everything is in stop motion animation, Professor Duncan and the study group help him try to discover the true meaning of Christmas."
"27",2,"Accounting for Lawyers",2010-09-30,2,27,"Joe Russo","Emily Cutler",203,4530000,2,8.2,3260,"Jeff blows off the study group and their break-dancing competition to hang out with his old co-workers at the law firm, but Annie tries to prove that one of them is the person who turned him in and got him fired."
"28",2,"Advanced Dungeons & Dragons",2011-02-03,14,39,"Joe Russo","Andrew Guest",214,4370000,14,9.5,6050,"The study group plays Dungeons & Dragons with another classmate to improve his spirits, but Pierce's jealousies cause their good intentions to backfire."
"29",2,"Aerodynamics of Gender",2010-11-04,7,32,"Tristram Shapeero","Adam Countee",207,4610000,7,8.4,3598,"Britta, Annie and Shirley discover that Abed is skilled at insulting the mean girls, so they use him to their advantage. Meanwhile, Troy and Jeff find a secret garden with a trampoline, which they use for relaxation."
"30",2,"Anthropology 101",2010-09-23,1,26,"Joe Russo","Chris McKenna",201,5010000,1,8.7,3593,"Jeff and Britta engage in a dangerous game of relationship one-upsmanship in response to Britta's embarrassing moment at the end of the previous school year, which could cause the entire study group to fall apart."
"31",2,"Applied Anthropology and Culinary Arts",2011-04-28,22,47,"Jay Chandrasekhar","Karey Dornetto",221,3350000,22,8,2960,"As the semester draws to a close, the anthropology class final is disrupted when Shirley goes into labor one month ahead of schedule."
"32",2,"Asian Population Studies",2011-01-20,12,37,"Anthony Russo","Emily Cutler",211,4730000,12,8,3042,"Annie lobbies for her new crush, who is also Jeff's rival, to join the study group, but a jealous Jeff counters with Chang. Meanwhile, Shirley announces that she's pregnant, but she doesn't know that it could be Chang's."
"33",2,"Basic Rocket Science",2010-10-14,4,29,"Anthony Russo","Andy Bobrow",204,4810000,4,8.7,3757,"Everyone in the study group except Abed is stuck in a crude 1980s space simulator as it is towed off campus, and Abed leads the team given the difficult assignment of bringing them home."
